Token	Count	Frequency
0	3303	0.0029228277894289734
1	3776	0.00334138593184493
2	2157	0.0019087313175290025
3	1116	9.875494438397621E-4
4	972	8.601237091507605E-4
5	1113	9.848947410337414E-4
6	1046	9.256063783659419E-4
7	950	8.406558885732743E-4
8	1270	0.0011238241878821667
9	2149	0.0019016521100462802
a	93642	0.0828638933871353
b	15342	0.013576150149990708
c	37454	0.03314307963223517
d	42021	0.03718442220393427
e	140497	0.12432592671250453
f	24265	0.021472121196032104
g	20867	0.018465227817745802
h	51581	0.04564407514578743
i	83864	0.07421133204137796
j	991	8.76936826922226E-4
k	6054	0.005357190262550108
l	47521	0.04205137734830586
m	27780	0.024582547983753218
n	82610	0.07310166626846125
o	85719	0.07585282327643421
p	23467	0.020765970249630554
q	1152	0.0010194058775120126
r	74146	0.06561186475174104
s	73273	0.06483934623518897
t	99615	0.08814940667392285
u	30574	0.027054961197093986
v	11814	0.01045421965011017
w	16478	0.014581397612537277
x	2632	0.0023290592618156396
y	17663	0.015630005220915517
z	1196	0.0010583415186669852
