CMDLINE python3 Phase2-EdgeRetrain.py
MEM 3.570312 1595424452.3813
MEM 15.281250 1595424452.4819
MEM 20.703125 1595424452.5825
MEM 33.718750 1595424452.6842
MEM 44.667969 1595424452.7847
MEM 53.640625 1595424452.8858
MEM 59.222656 1595424452.9885
MEM 59.910156 1595424453.0891
MEM 61.933594 1595424453.1897
MEM 70.949219 1595424453.2903
MEM 82.425781 1595424453.3918
MEM 88.757812 1595424453.4942
MEM 91.773438 1595424453.5960
MEM 95.914062 1595424453.6967
MEM 129.664062 1595424453.7972
MEM 176.378906 1595424453.8980
MEM 223.601562 1595424453.9995
MEM 268.062500 1595424454.1001
MEM 314.261719 1595424454.2007
MEM 358.980469 1595424454.3013
MEM 404.921875 1595424454.4029
MEM 448.867188 1595424454.5034
MEM 495.070312 1595424454.6041
MEM 520.347656 1595424454.7046
MEM 523.183594 1595424454.8053
MEM 524.070312 1595424454.9057
MEM 528.968750 1595424455.0063
MEM 529.742188 1595424455.1067
MEM 530.257812 1595424455.2073
MEM 536.187500 1595424455.3079
MEM 536.445312 1595424455.4090
MEM 537.734375 1595424455.5101
MEM 545.468750 1595424455.6108
MEM 545.902344 1595424455.7119
MEM 545.871094 1595424455.8132
MEM 545.871094 1595424455.9157
MEM 0.000000 1595424456.0162
