CMDLINE python3 Phase1-InitialTrain.py
MEM 1.382812 1595425473.5240
MEM 11.238281 1595425473.6244
MEM 16.523438 1595425473.7248
MEM 20.343750 1595425473.8252
MEM 28.324219 1595425473.9257
MEM 32.125000 1595425474.0265
MEM 35.851562 1595425474.1273
MEM 40.195312 1595425474.2278
MEM 45.238281 1595425474.3284
MEM 48.832031 1595425474.4317
MEM 52.007812 1595425474.5322
MEM 56.648438 1595425474.6329
MEM 58.753906 1595425474.7335
MEM 59.687500 1595425474.8341
MEM 62.214844 1595425474.9346
MEM 65.914062 1595425475.0348
MEM 70.242188 1595425475.1354
MEM 74.105469 1595425475.2359
MEM 79.851562 1595425475.3362
MEM 83.089844 1595425475.4366
MEM 87.550781 1595425475.5369
MEM 90.367188 1595425475.6372
MEM 92.207031 1595425475.7376
MEM 94.578125 1595425475.8379
MEM 112.925781 1595425475.9382
MEM 121.769531 1595425476.0386
MEM 127.125000 1595425476.1393
MEM 134.601562 1595425476.2399
MEM 134.601562 1595425476.3405
MEM 134.601562 1595425476.4411
MEM 134.601562 1595425476.5422
MEM 134.601562 1595425476.6428
MEM 134.601562 1595425476.7434
MEM 134.601562 1595425476.8441
MEM 134.601562 1595425476.9447
MEM 134.601562 1595425477.0453
MEM 134.601562 1595425477.1459
MEM 134.601562 1595425477.2461
MEM 140.859375 1595425477.3466
MEM 141.117188 1595425477.4472
MEM 141.117188 1595425477.5479
MEM 141.117188 1595425477.6485
MEM 141.117188 1595425477.7491
MEM 141.117188 1595425477.8501
MEM 141.117188 1595425477.9504
MEM 141.632812 1595425478.0510
MEM 141.632812 1595425478.1516
MEM 141.632812 1595425478.2521
MEM 141.632812 1595425478.3532
MEM 141.632812 1595425478.4538
MEM 146.464844 1595425478.5542
MEM 146.464844 1595425478.6568
MEM 146.464844 1595425478.7572
MEM 146.464844 1595425478.8578
MEM 146.464844 1595425478.9584
MEM 146.464844 1595425479.0590
MEM 146.464844 1595425479.1601
MEM 146.464844 1595425479.2607
MEM 146.464844 1595425479.3613
MEM 146.464844 1595425479.4619
MEM 146.464844 1595425479.5625
MEM 146.464844 1595425479.6631
MEM 151.488281 1595425479.7636
MEM 151.488281 1595425479.8640
