CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 0.625000 1595426468.9265
MEM 15.378906 1595426469.0274
MEM 21.312500 1595426469.1280
MEM 34.976562 1595426469.2282
MEM 46.507812 1595426469.3287
MEM 56.582031 1595426469.4293
MEM 59.371094 1595426469.5300
MEM 60.128906 1595426469.6311
MEM 64.796875 1595426469.7317
MEM 74.425781 1595426469.8320
MEM 85.187500 1595426469.9325
MEM 90.480469 1595426470.0331
MEM 93.136719 1595426470.1337
MEM 103.011719 1595426470.2340
MEM 142.246094 1595426470.3345
MEM 188.960938 1595426470.4350
MEM 231.875000 1595426470.5357
MEM 280.460938 1595426470.6360
MEM 322.792969 1595426470.7369
MEM 372.023438 1595426470.8375
MEM 416.996094 1595426470.9379
MEM 462.679688 1595426471.0388
MEM 512.101562 1595426471.1392
MEM 510.148438 1595426471.2399
MEM 510.148438 1595426471.3402
MEM 510.148438 1595426471.4410
MEM 510.148438 1595426471.5414
MEM 0.000000 1595426471.6431
